"male_normal_vs_deep"	"male_normal_vs_shallow"	"male_shallow_vs_deep"	"female_normal_vs_deep"	"female_normal_vs_shallow"	"female_shallow_vs_deep"
"ENSG00000013288.9_MAN2B2"	0	0	0	0	0	0
"ENSG00000013293.6_SLC7A14"	0	0	NA	0	0	0
"ENSG00000013297.12_CLDN11"	0	0	0	0	0	0
"ENSG00000013306.16_SLC25A39"	0	0	0	0	0	0
"ENSG00000013364.19_MVP"	0	0	0	0	0	0
"ENSG00000013374.16_NUB1"	0	0	0	0	0	0
"ENSG00000013375.16_PGM3"	0	0	0	0	0	0
"ENSG00000013392.8_RWDD2A"	0	0	0	0	0	0
"ENSG00000013441.16_CLK1"	0	-0.198382052621848	0	0	-0.250425933283052	0
"ENSG00000013503.10_POLR3B"	0	0.25088381100686	0	0	0.220692601084284	0
"ENSG00000013523.11_ANGEL1"	0	-0.187916235297334	0	0	-0.209746686956989	0
"ENSG00000013561.18_RNF14"	0	0	0	0	0	0
"ENSG00000013563.14_DNASE1L1"	0	-0.22001088268921	0	0	0	0
"ENSG00000013573.17_DDX11"	0	0.248211531592305	0	0	0.254273676234873	0
"ENSG00000013583.10_HEBP1"	0	0	0	0	0	0
"ENSG00000013588.9_GPRC5A"	0	0	0	0	0.42430472492772	0
"ENSG00000013619.14_MAMLD1"	0	0.504381287413398	0	0	0.686805269637488	0
"ENSG00000013725.14_CD6"	0	0.431559097521255	0	0	0	0
"ENSG00000013810.20_TACC3"	0	0.356774286298576	0	0	0.350035243951362	0
"ENSG00000014123.10_UFL1"	0	0	0	0	0	0
"ENSG00000014138.9_POLA2"	0	0	0	0	0	0
"ENSG00000014164.7_ZC3H3"	0	-0.222496543433479	0	0	0	0
"ENSG00000014216.16_CAPN1"	0	0	0	0	0	0
"ENSG00000014257.16_ACP3"	0	0	0	0	0	0
"ENSG00000014641.21_MDH1"	0	0.188713583425452	0	0	0	0
"ENSG00000014824.14_SLC30A9"	-0.842783516838952	0	-0.943728355362519	0	0.24014866035737	0
"ENSG00000014914.21_MTMR11"	0	-0.28816057503245	0	0	-0.596265851426025	0
"ENSG00000014919.13_COX15"	0	0.133851466080405	0	0	0.169921506799569	0
"ENSG00000015133.19_CCDC88C"	0	0.187624877321848	0	0	0.335980894620025	0
"ENSG00000015153.15_YAF2"	0	0	0	0	0	0
"ENSG00000015171.20_ZMYND11"	0	0	0	0	0	0
