"LUAD_NORMAL_DEEP"	"LUAD_NORMAL_SHALLOW"	"LUAD_SHALLOW_DEEP"	"LUAD_MALE_FEMALE"	"LUAD_MALE_NORMAL_DEEP"	"LUAD_MALE_NORMAL_SHALLOW"	"LUAD_MALE_SHALLOW_DEEP"	"LUAD_FEMALE_NORMAL_DEEP"	"LUAD_FEMALE_NORMAL_SHALLOW"	"LUAD_FEMALE_SHALLOW_DEEP"
"ENSG00000010282.15_HHATL"	0	1.59018364304856	0	1.29164392838863	0	0	0	0	1.3718641715327	0
"ENSG00000010292.13_NCAPD2"	0	0	0	0	0	0	0	0	0	0
"ENSG00000010295.20_IFFO1"	0	0	0	0	0	0	0	0	0	0
"ENSG00000010310.9_GIPR"	0	0	0	0	0	0	0	0	0	0
"ENSG00000010318.21_PHF7"	0	0	0	0	0	0	0	0	0	0
"ENSG00000010319.7_SEMA3G"	0	0.590953192363445	0	0	0	0	0	0	0.802169133309172	0
"ENSG00000010322.16_NISCH"	0	0	0	0	0	0	0	0	0	0
"ENSG00000010327.10_STAB1"	0	0	0	0	0	0	0	0	0	0
"ENSG00000010361.14_FUZ"	0	0	0	0	0	0	0	0	0	0
"ENSG00000010379.16_SLC6A13"	0	0.853448756823745	0	0	0	0	0	0	0.914897969928321	0
"ENSG00000010404.18_IDS"	0	0	0	0	0	0	0	0	0	0
"ENSG00000010438.17_PRSS3"	0	0.828275042342802	0	0	0	1.41983279170121	0	0	0	0
"ENSG00000010539.12_ZNF200"	0	0	0	0	0	0	0	0	0	0
"ENSG00000010610.10_CD4"	0	0	0	0	0	0	0	0	0	0
"ENSG00000010626.15_LRRC23"	0	0.390345058080443	0	0	0	0.646712381929369	0	0	0	0
"ENSG00000010671.16_BTK"	0	0	0	0	0	0	0	0	0	0
"ENSG00000010704.18_HFE"	0	0	0	0	0	0	0	0	0	0
"ENSG00000010803.16_SCMH1"	0	0	0	0	0	0	0	0	0	0
"ENSG00000010810.17_FYN"	0	0	0	0	0	0	0	0	0	0
"ENSG00000010818.10_HIVEP2"	0	0	0	0	0	0	0	0	0	0
"ENSG00000010932.17_FMO1"	0	-0.417393804555017	0	0	0	-0.644277219411608	0	0	0	0
"ENSG00000011007.12_ELOA"	0	0	0	0	0	0	0	0	0	0
"ENSG00000011009.11_LYPLA2"	0	0	0	0	0	0	0	0	0	0
"ENSG00000011021.23_CLCN6"	0	0	0	0	0	0	0	0	0	0
"ENSG00000011028.14_MRC2"	0	0	0	0	0	0	0	0	0	0
"ENSG00000011052.21_NME1-NME2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ENSG00000011083.9_SLC6A7"	0	0	0	0	0	0	0	0	0	0
"ENSG00000011105.14_TSPAN9"	0	0	0	0	0	0	0	0	0	0
"ENSG00000011114.15_BTBD7"	0	0	0	0	0	0	0	0	0	0
"ENSG00000011132.12_APBA3"	0	0	0	0	0	0	0	0	0	0
"ENSG00000011143.19_MKS1"	0	0	0	0	0	0	0	0	0	0
"ENSG00000011198.10_ABHD5"	0	0	0	0	0	0	0	0	0	0
"ENSG00000011201.12_ANOS1"	0	0	0	-0.721480600813864	0	0	0	0	0	0
"ENSG00000011243.18_AKAP8L"	0	0	0	0	0	0	0	0	0	0
"ENSG00000011258.16_MBTD1"	0	0	0	0	0	0	0	0	0	0
"ENSG00000011260.14_UTP18"	0	-0.152411316349865	0	0	0	0	0	0	0	0
"ENSG00000011275.19_RNF216"	0	-0.136905455621537	0	0	0	0	0	0	-0.198323355083258	0
"ENSG00000011295.16_TTC19"	0	0.16537180747881	0	0	0	0	0	0	0	0
"ENSG00000011304.22_PTBP1"	0	0	0	0	0	0	0	0	0	0
"ENSG00000011332.19_DPF1"	0	-0.889944199919778	0	0	0	0	0	0	-1.23132906464433	0
"ENSG00000011347.10_SYT7"	0	0	0	0	0	0	0	0	0	0
"ENSG00000011376.12_LARS2"	0	0	0	0.155365823638027	0	0	0	0	0	0
"ENSG00000011405.13_PIK3C2A"	0	0	0	0	0	0	0	0	0	0
"ENSG00000011422.12_PLAUR"	0	0	0	0	0	0	0	0	0	0
"ENSG00000011426.11_ANLN"	0	0	0	0	0	0	0	0	0	0
"ENSG00000011451.21_WIZ"	0	0	0	0	0	0	0	0	0	0
"ENSG00000011454.18_RABGAP1"	0	0.163505278053915	0	0	0	0.262075206634696	0	0	0	0
"ENSG00000011465.18_DCN"	0	0	0	0	0	0	0	0	0	0
"ENSG00000011478.13_QPCTL"	0	0	0	0	0	0	0	0	0	0
